,dcc_mean_pairwise_corr
2022-03-16,0.2943556890211636
2022-03-17,0.28496715975058695
2022-03-18,0.2852392577776482
2022-03-21,0.24543297847984977
2022-03-22,0.20654926810680738
2022-03-23,0.21094168330211077
2022-03-30,0.21801450721965435
2022-03-31,0.2274242729310659
2022-04-01,0.16763322782830015
2022-04-04,0.17365336061708003
2022-04-05,0.19025992670556863
2022-04-06,0.2122385773025174
2022-04-07,0.21544415052571528
2022-04-08,0.2210562239606398
2022-04-11,0.23617549686605432
2022-04-12,0.24520052068289733
2022-04-13,0.2180973315589938
2022-04-14,0.22538018135020588
2022-04-19,0.23099189056281572
2022-04-20,0.22523841184040308
2022-04-21,0.24415612558604574
2022-04-22,0.2492919303865399
2022-04-25,0.2612943747346542
2022-04-26,0.2670959673132408
2022-04-27,0.27073225159591885
2022-04-28,0.27197974483640974
2022-04-29,0.2785136784275669
2022-05-04,0.27785063656159015
2022-05-05,0.288668430206288
2022-05-06,0.2854624313824937
2022-05-09,0.28471510276782286
2022-05-10,0.28338849398437577
2022-05-11,0.2793634578433234
2022-05-12,0.2815655816347517
2022-05-13,0.282813009831862
2022-05-16,0.2727662227116432
2022-05-17,0.27217944266863964
2022-05-18,0.2665588485550594
2022-05-19,0.26311928807180845
2022-05-20,0.264579202730558
2022-05-23,0.2732904218370079
2022-05-24,0.27210502596348346
2022-05-25,0.27866095079071157
2022-05-26,0.39308050523229643
2022-05-27,0.40217256440005944
2022-05-30,0.39694982237863324
2022-05-31,0.3881934569403203
2022-06-01,0.38504144232171644
2022-06-02,0.3708520829668032
2022-06-03,0.36929030174251
2022-06-06,0.3622086743110241
2022-06-07,0.3578082630434788
2022-06-08,0.3513738610155677
2022-06-09,0.3510411804031053
2022-06-10,0.35551720310190255
2022-06-14,0.3485094603526714
2022-06-15,0.3455159215870983
2022-06-16,0.3560978207653866
2022-06-17,0.3485915566455947
2022-06-20,0.38430813494456295
2022-06-21,0.3604615046771108
2022-06-22,0.3547250023685516
2022-06-23,0.3502275864793072
2022-06-24,0.33872731785628074
2022-06-27,0.33751400238365453
2022-06-28,0.33338439800992214
2022-06-29,0.31742233225103655
2022-06-30,0.3147326217922786
2022-07-01,0.3159704521102583
2022-07-04,0.3094315504496434
2022-07-05,0.3036933482030305
2022-07-06,0.2816349448007453
2022-07-07,0.2813308563668372
2022-07-08,0.2725741938070499
2022-07-13,0.2656869978621105
2022-07-14,0.25325035117715117
2022-07-15,0.2448529497378388
2022-07-18,0.24204026890166758
2022-07-19,0.2461940543274368
2022-07-20,0.24646094592060203
2022-07-21,0.2568623901043794
2022-07-22,0.2610588423336281
2022-07-25,0.23735556090278492
2022-07-26,0.2308400974052894
2022-07-27,0.23561996670844537
2022-07-28,0.2465714252243975
2022-07-29,0.276945719911524
2022-08-01,0.32187907108022584
2022-08-02,0.32176191482951577
2022-08-03,0.3189200948698194
2022-08-04,0.31972266822140905
2022-08-05,0.3195565966062732
2022-08-08,0.32030651968876256
2022-08-09,0.32289993281592777
2022-08-10,0.32325249693105923
2022-08-11,0.32311991493578224
2022-08-12,0.3191738192822765
2022-08-15,0.3140260828248168
2022-08-16,0.3008531475520919
2022-08-17,0.3025314824006638
2022-08-18,0.3050895740241897
2022-08-19,0.29914172199137923
2022-08-22,0.2984625655655024
2022-08-23,0.30029062224884234
2022-08-24,0.3027744206362691
2022-08-25,0.30625338842256655
2022-08-26,0.3009042388092661
2022-08-29,0.3011332383404198
2022-08-30,0.3017513504792193
2022-08-31,0.3041171167196565
2022-09-01,0.30158576963586564
2022-09-02,0.24531751295003534
2022-09-05,0.24567768805262533
2022-09-06,0.2447777037878091
2022-09-07,0.2581775053066876
2022-09-08,0.26237707084332146
2022-09-09,0.26103057721484946
2022-09-12,0.25690355028608247
2022-09-13,0.24783543861937227
2022-09-14,0.25332489373132805
2022-09-15,0.2545936000507581
2022-09-16,0.2524114268646073
2022-09-19,0.26517047294177143
2022-09-20,0.26810787376107986
2022-09-21,0.24867676382053966
2022-09-22,0.244737999165062
2022-09-23,0.24805863634715397
2022-09-26,0.20686348586803832
2022-09-27,0.21029829264740457
2022-09-28,0.21157863488356893
2022-09-29,0.22933010225602982
2022-09-30,0.23228595070055622
2022-10-04,0.23646090334743652
2022-10-05,0.31007256851969806
2022-10-06,0.31178736020074893
2022-10-07,0.298370868900259
2022-10-11,0.3008603169049014
2022-10-12,0.2671651542253047
2022-10-13,0.2727692214309407
2022-10-14,0.2872320351267403
2022-10-17,0.268330258226511
2022-10-18,0.27585810597371
2022-10-19,0.2852329226237006
2022-10-20,0.2845087298328668
2022-10-21,0.2865664489442272
2022-10-24,0.28849375168232927
2022-10-25,0.2931518606981719
2022-10-26,0.29412585866881
2022-10-27,0.287979222511148
2022-10-28,0.2749406651870405
2022-10-31,0.25149124352736185
2022-11-01,0.24736760538808333
2022-11-02,0.2499355973466347
2022-11-03,0.23191008181122488
2022-11-04,0.23656982509576255
2022-11-07,0.24001652725767686
2022-11-08,0.24613502793956207
2022-11-09,0.2513984618915012
2022-11-10,0.2523853744584622
2022-11-11,0.25754842257237753
2022-11-14,0.262139593496971
2022-11-15,0.2573537103588757
2022-11-16,0.2569037688532464
2022-11-17,0.33002023478986525
2022-11-18,0.32933142381918257
2022-11-21,0.30529670828944866
2022-11-22,0.3131749635698605
2022-11-23,0.309952019037082
2022-11-24,0.31670346697129625
2022-11-25,0.32785186728291205
2022-11-28,0.32477149707354797
